Name,English only,Spanish,French,Yaddish,French Creole,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state,Year
Missouri,5209395.0,147188.0,14701.0,283.0,736.0,4951.0,2031.0,22976.0,1767.0,7598.0,2051.0,12130.0,149.0,2693.0,1704.0,4045.0,2801.0,16056.0,2995.0,7815.0,941.0,792.0,1640.0,747.0,12194.0,5985.0,136.0,928.0,7367.0,848.0,29,2010
Missouri,5231415.0,150245.0,14218.0,214.0,732.0,4560.0,2232.0,23299.0,1838.0,8211.0,1718.0,12878.0,179.0,3225.0,2042.0,4017.0,2741.0,16882.0,3091.0,7236.0,1043.0,944.0,1720.0,801.0,11746.0,6284.0,138.0,916.0,8663.0,1008.0,29,2011
Missouri,5256422.0,147449.0,14457.0,251.0,891.0,4439.0,2224.0,23025.0,1879.0,7905.0,1600.0,13150.0,205.0,3087.0,1941.0,3771.0,2830.0,18053.0,2988.0,7003.0,1086.0,808.0,1758.0,859.0,11702.0,7163.0,70.0,915.0,9603.0,997.0,29,2012
Missouri,5279336.0,148039.0,14500.0,221.0,734.0,4391.0,2653.0,22909.0,1474.0,8678.0,1500.0,13498.0,187.0,3068.0,1813.0,3999.0,3456.0,18808.0,2818.0,6918.0,1095.0,949.0,1512.0,1058.0,12185.0,7256.0,65.0,874.0,9909.0,1203.0,29,2013
Missouri,5306006.0,144376.0,14053.0,174.0,916.0,4096.0,3099.0,22191.0,1323.0,8153.0,1358.0,13127.0,141.0,3133.0,2186.0,4360.0,4293.0,19260.0,2628.0,7505.0,1118.0,1142.0,1047.0,1074.0,12447.0,7344.0,46.0,1131.0,9903.0,1113.0,29,2014
Missouri,5326382.0,145451.0,13099.0,163.0,776.0,3711.0,2841.0,21596.0,1222.0,7731.0,1362.0,11988.0,185.0,2442.0,2709.0,4433.0,3939.0,19979.0,2789.0,6967.0,1036.0,1371.0,1294.0,623.0,12814.0,7525.0,18.0,864.0,10160.0,1202.0,29,2015
Nebraska,1491234.0,100047.0,4030.0,12.0,117.0,943.0,538.0,6233.0,290.0,987.0,1011.0,907.0,40.0,438.0,267.0,920.0,340.0,3597.0,1131.0,980.0,353.0,0.0,456.0,833.0,6224.0,1664.0,27.0,87.0,2969.0,135.0,31,2009
Nebraska,1507705.0,107428.0,4504.0,21.0,201.0,1050.0,630.0,6532.0,324.0,1186.0,1123.0,699.0,20.0,368.0,273.0,1320.0,359.0,4131.0,1265.0,897.0,144.0,0.0,510.0,568.0,6596.0,1690.0,41.0,77.0,3532.0,113.0,31,2010
Nebraska,1515814.0,110871.0,4855.0,80.0,146.0,1117.0,622.0,6225.0,256.0,1408.0,1158.0,675.0,16.0,579.0,426.0,1336.0,360.0,3753.0,1182.0,992.0,91.0,46.0,577.0,417.0,6952.0,1742.0,13.0,50.0,3505.0,130.0,31,2011
Nebraska,1520665.0,116917.0,4898.0,118.0,155.0,1392.0,582.0,5913.0,249.0,1543.0,987.0,589.0,15.0,549.0,347.0,1351.0,428.0,3758.0,1097.0,965.0,106.0,38.0,801.0,517.0,7622.0,1415.0,12.0,42.0,3533.0,213.0,31,2012
Nebraska,1530738.0,119506.0,4801.0,148.0,154.0,1364.0,792.0,5690.0,301.0,1324.0,919.0,556.0,5.0,640.0,275.0,1238.0,389.0,4348.0,1075.0,1160.0,84.0,37.0,835.0,734.0,7616.0,1320.0,5.0,30.0,3553.0,154.0,31,2013
Nebraska,1540977.0,122164.0,4716.0,120.0,77.0,1281.0,825.0,5000.0,302.0,1499.0,812.0,751.0,0.0,715.0,353.0,1343.0,262.0,4133.0,1082.0,1407.0,124.0,95.0,855.0,715.0,7955.0,1152.0,7.0,12.0,4197.0,107.0,31,2014
Nebraska,1551006.0,125200.0,4658.0,99.0,151.0,981.0,1030.0,4672.0,280.0,1321.0,726.0,633.0,0.0,808.0,363.0,1347.0,277.0,4654.0,1177.0,1501.0,167.0,187.0,960.0,763.0,8289.0,1271.0,4.0,11.0,4580.0,128.0,31,2015
North Dakota,566444.0,8886.0,1300.0,7.0,83.0,112.0,86.0,9841.0,24.0,454.0,314.0,954.0,0.0,92.0,0.0,170.0,143.0,1104.0,222.0,194.0,91.0,0.0,43.0,21.0,425.0,469.0,8.0,23.0,428.0,39.0,38,2009
North Dakota,584946.0,8183.0,1068.0,9.0,25.0,134.0,79.0,9798.0,45.0,540.0,338.0,1110.0,0.0,33.0,52.0,142.0,166.0,1169.0,587.0,217.0,116.0,0.0,46.0,61.0,521.0,428.0,71.0,77.0,506.0,39.0,38,2010
North Dakota,590804.0,8029.0,926.0,6.0,32.0,151.0,59.0,9361.0,39.0,727.0,368.0,1065.0,0.0,33.0,83.0,184.0,154.0,1325.0,534.0,156.0,63.0,26.0,77.0,60.0,656.0,473.0,71.0,73.0,649.0,38.0,38,2011
North Dakota,599068.0,8524.0,1073.0,0.0,47.0,214.0,105.0,9167.0,51.0,758.0,308.0,717.0,0.0,28.0,57.0,165.0,156.0,1256.0,351.0,168.0,76.0,15.0,86.0,49.0,766.0,470.0,110.0,80.0,574.0,39.0,38,2012
North Dakota,610268.0,9190.0,894.0,0.0,40.0,246.0,158.0,8541.0,96.0,746.0,185.0,649.0,0.0,46.0,79.0,262.0,196.0,1122.0,391.0,238.0,53.0,11.0,130.0,46.0,819.0,451.0,101.0,94.0,797.0,38.0,38,2013
North Dakota,622371.0,9407.0,1189.0,0.0,50.0,239.0,314.0,8168.0,72.0,645.0,214.0,1042.0,0.0,54.0,94.0,331.0,114.0,1305.0,405.0,321.0,23.0,9.0,156.0,54.0,779.0,444.0,117.0,87.0,848.0,78.0,38,2014
North Dakota,635160.0,10489.0,1165.0,2.0,50.0,285.0,409.0,7672.0,60.0,705.0,297.0,1254.0,0.0,69.0,139.0,508.0,37.0,1380.0,261.0,268.0,21.0,14.0,202.0,7.0,823.0,915.0,74.0,38.0,862.0,52.0,38,2015
Ohio,10111373.0,226766.0,29799.0,935.0,2077.0,20454.0,3207.0,57337.0,11908.0,15223.0,12330.0,13468.0,435.0,3095.0,6621.0,11034.0,4971.0,31938.0,8992.0,9784.0,4812.0,645.0,2472.0,2399.0,10504.0,9598.0,110.0,8400.0,25780.0,3197.0,39,2009
Ohio,10104160.0,236444.0,28917.0,956.0,2436.0,19268.0,3148.0,57217.0,11751.0,15706.0,10986.0,13358.0,477.0,2917.0,7002.0,14096.0,4912.0,34226.0,9044.0,10345.0,4359.0,547.0,2780.0,2460.0,11218.0,10470.0,70.0,8496.0,26762.0,2869.0,39,2010
Ohio,10106940.0,238687.0,29681.0,810.0,2098.0,18880.0,3673.0,58187.0,11072.0,16068.0,10557.0,13636.0,563.0,3302.0,7204.0,14863.0,5111.0,35798.0,9464.0,11080.0,4196.0,537.0,2943.0,2358.0,11332.0,11479.0,45.0,7872.0,29213.0,2827.0,39,2011
Ohio,10111577.0,240062.0,29700.0,770.0,2010.0,18563.0,3515.0,56274.0,10664.0,15835.0,10282.0,13358.0,572.0,3524.0,7706.0,14655.0,5389.0,39014.0,9647.0,11026.0,4427.0,509.0,2788.0,2836.0,11449.0,10981.0,44.0,7767.0,30604.0,2965.0,39,2012
Ohio,10124056.0,241651.0,28349.0,689.0,1800.0,17966.0,3459.0,54215.0,10122.0,16917.0,9504.0,12868.0,482.0,3266.0,7727.0,16159.0,5132.0,41089.0,9510.0,12560.0,3992.0,543.0,2590.0,3287.0,11619.0,10897.0,59.0,7144.0,34277.0,2838.0,39,2013
Ohio,10136912.0,240380.0,27884.0,623.0,2017.0,17139.0,3340.0,51687.0,9683.0,16735.0,9111.0,12903.0,448.0,3795.0,8003.0,16673.0,4786.0,42390.0,9929.0,11690.0,4099.0,446.0,2322.0,2763.0,11403.0,10408.0,73.0,6820.0,37836.0,2892.0,39,2014
Ohio,10150246.0,242988.0,27128.0,518.0,1752.0,15771.0,3797.0,49702.0,9580.0,16594.0,8628.0,12076.0,438.0,4070.0,8393.0,16799.0,4298.0,44367.0,9777.0,12094.0,4436.0,487.0,2526.0,2664.0,11810.0,9789.0,66.0,6399.0,39568.0,2591.0,39,2015
Oklahoma,3068856.0,184973.0,5116.0,57.0,189.0,1368.0,1305.0,10585.0,552.0,2114.0,348.0,141.0,59.0,1766.0,1060.0,1592.0,1596.0,6903.0,2007.0,3718.0,312.0,2299.0,991.0,1552.0,12905.0,3559.0,243.0,221.0,3877.0,491.0,40,2009
Oklahoma,3117161.0,200871.0,5042.0,73.0,215.0,1200.0,953.0,10677.0,551.0,2079.0,361.0,175.0,71.0,1972.0,1162.0,1877.0,1538.0,7587.0,1750.0,4091.0,246.0,2837.0,1308.0,1609.0,14253.0,3362.0,275.0,219.0,3701.0,491.0,40,2010
Oklahoma,3143824.0,208187.0,5253.0,56.0,204.0,1071.0,896.0,10476.0,715.0,1893.0,594.0,191.0,87.0,2108.0,1272.0,1931.0,1378.0,8154.0,1623.0,4258.0,400.0,3655.0,1182.0,1541.0,14185.0,3406.0,166.0,198.0,4028.0,458.0,40,2011
Oklahoma,3166489.0,216510.0,5205.0,51.0,247.0,954.0,909.0,11276.0,791.0,1735.0,753.0,206.0,60.0,2251.0,1019.0,1938.0,1488.0,7896.0,1960.0,4231.0,382.0,3362.0,1065.0,1705.0,14846.0,3090.0,125.0,226.0,4052.0,492.0,40,2012
Oklahoma,3190076.0,224324.0,5126.0,48.0,339.0,1009.0,962.0,10492.0,698.0,1880.0,712.0,286.0,86.0,2148.0,834.0,1899.0,1781.0,8535.0,2007.0,4498.0,404.0,3215.0,991.0,1610.0,15084.0,3381.0,169.0,176.0,4111.0,489.0,40,2013
Oklahoma,3212248.0,230639.0,5615.0,60.0,344.0,879.0,1210.0,9790.0,662.0,2089.0,727.0,346.0,110.0,2315.0,799.0,1851.0,1835.0,8745.0,1931.0,4305.0,392.0,3308.0,1229.0,1733.0,15568.0,3646.0,232.0,126.0,4345.0,635.0,40,2014
Oklahoma,3231650.0,239557.0,5517.0,36.0,437.0,1062.0,1237.0,9234.0,682.0,1961.0,805.0,339.0,99.0,2108.0,799.0,1693.0,1680.0,8810.0,1882.0,4079.0,504.0,3516.0,1097.0,1705.0,16655.0,3720.0,274.0,156.0,5281.0,660.0,40,2015
South Dakota,692700.0,14324.0,794.0,9.0,0.0,150.0,107.0,9857.0,81.0,929.0,62.0,923.0,19.0,25.0,0.0,260.0,22.0,689.0,358.0,331.0,18.0,186.0,121.0,122.0,1102.0,900.0,90.0,55.0,479.0,30.0,46,2009
South Dakota,692504.0,14829.0,973.0,8.0,0.0,135.0,143.0,10359.0,60.0,749.0,75.0,829.0,29.0,20.0,0.0,266.0,31.0,926.0,340.0,442.0,57.0,244.0,158.0,204.0,1076.0,836.0,138.0,46.0,422.0,36.0,46,2010
South Dakota,699573.0,15114.0,1100.0,18.0,0.0,149.0,174.0,8884.0,59.0,1018.0,116.0,765.0,26.0,23.0,98.0,278.0,84.0,947.0,345.0,726.0,58.0,175.0,170.0,177.0,750.0,872.0,75.0,46.0,540.0,67.0,46,2011
South Dakota,707097.0,15333.0,1046.0,15.0,6.0,165.0,222.0,7968.0,74.0,980.0,69.0,809.0,76.0,33.0,54.0,343.0,80.0,1147.0,211.0,627.0,92.0,210.0,98.0,272.0,685.0,501.0,102.0,43.0,648.0,87.0,46,2012
South Dakota,714184.0,16214.0,995.0,18.0,9.0,267.0,219.0,7691.0,48.0,885.0,68.0,676.0,65.0,17.0,100.0,253.0,65.0,1327.0,288.0,600.0,201.0,54.0,224.0,263.0,723.0,534.0,110.0,42.0,712.0,27.0,46,2013
South Dakota,723464.0,16722.0,960.0,17.0,8.0,258.0,180.0,6697.0,31.0,900.0,88.0,643.0,62.0,4.0,104.0,290.0,65.0,1545.0,229.0,588.0,189.0,34.0,176.0,171.0,609.0,664.0,129.0,44.0,687.0,38.0,46,2014
South Dakota,732355.0,16757.0,928.0,19.0,9.0,302.0,144.0,5533.0,33.0,781.0,89.0,741.0,22.0,20.0,97.0,220.0,251.0,1412.0,208.0,530.0,152.0,27.0,180.0,204.0,485.0,876.0,125.0,132.0,713.0,30.0,46,2015
Tennessee,5407573.0,189804.0,12787.0,89.0,1087.0,2597.0,2034.0,14179.0,823.0,4455.0,1472.0,2325.0,225.0,3061.0,3991.0,4560.0,1379.0,12027.0,4370.0,8071.0,1886.0,503.0,1642.0,6320.0,7216.0,5113.0,50.0,546.0,12216.0,802.0,47,2009
Tennessee,5469277.0,212404.0,12442.0,67.0,1017.0,2432.0,1812.0,13922.0,972.0,4147.0,1482.0,2722.0,169.0,2500.0,3785.0,4290.0,1650.0,12731.0,4319.0,8291.0,1762.0,361.0,1760.0,6627.0,7831.0,5439.0,32.0,409.0,11760.0,998.0,47,2010
Tennessee,5514129.0,222601.0,12643.0,36.0,1241.0,2620.0,2323.0,14247.0,901.0,4228.0,1183.0,2630.0,161.0,2776.0,4337.0,4692.0,1745.0,12631.0,4194.0,8442.0,1839.0,191.0,1818.0,6313.0,8924.0,5567.0,38.0,378.0,12037.0,840.0,47,2011
Tennessee,5557499.0,227467.0,12991.0,23.0,1795.0,2490.0,2267.0,14214.0,988.0,4054.0,1252.0,2233.0,209.0,3166.0,4000.0,4819.0,1854.0,12874.0,4178.0,8768.0,1277.0,214.0,1703.0,6134.0,9691.0,5643.0,38.0,395.0,13182.0,1036.0,47,2012
Tennessee,5601411.0,232394.0,11974.0,45.0,1710.0,2482.0,2317.0,13920.0,898.0,4004.0,1294.0,2490.0,250.0,2935.0,4454.0,5122.0,1712.0,13150.0,3845.0,8831.0,1364.0,208.0,1445.0,5544.0,10539.0,5921.0,32.0,512.0,16535.0,1042.0,47,2013
Tennessee,5640659.0,238187.0,11954.0,53.0,1575.0,2748.0,2520.0,13747.0,892.0,4215.0,1100.0,2071.0,294.0,3274.0,4584.0,5533.0,2248.0,13212.0,4148.0,8177.0,1629.0,344.0,1205.0,5484.0,10402.0,6507.0,24.0,539.0,18451.0,854.0,47,2014
Tennessee,5679463.0,241451.0,12322.0,77.0,1728.0,2643.0,2405.0,13446.0,833.0,4099.0,1067.0,1498.0,289.0,3113.0,4724.0,5992.0,2183.0,13494.0,3920.0,8300.0,1772.0,195.0,1429.0,6230.0,10669.0,6675.0,47.0,578.0,20840.0,737.0,47,2015
Wisconsin,4814711.0,220307.0,12434.0,258.0,387.0,5938.0,1183.0,38242.0,2771.0,6157.0,9321.0,5166.0,251.0,806.0,1555.0,4185.0,2271.0,11789.0,2211.0,4411.0,668.0,35277.0,1425.0,4448.0,2996.0,4290.0,41.0,553.0,4690.0,842.0,55,2009
Wisconsin,4838913.0,234062.0,12437.0,268.0,322.0,5561.0,1283.0,37092.0,2949.0,6402.0,8906.0,5170.0,216.0,903.0,1505.0,4356.0,2664.0,12260.0,2023.0,4737.0,818.0,37822.0,1251.0,5231.0,2943.0,4407.0,43.0,513.0,4876.0,776.0,55,2010
Wisconsin,4857740.0,237179.0,12244.0,264.0,263.0,5665.0,1211.0,37306.0,2957.0,6147.0,8108.0,5084.0,220.0,935.0,1670.0,4529.0,2972.0,13524.0,1850.0,4736.0,867.0,38762.0,1109.0,5105.0,2941.0,4817.0,96.0,503.0,5467.0,794.0,55,2011
Wisconsin,4875535.0,239386.0,12196.0,242.0,187.0,5391.0,1397.0,36704.0,2664.0,6100.0,7742.0,5227.0,268.0,790.0,1429.0,4990.0,3136.0,14397.0,1835.0,4649.0,608.0,39873.0,979.0,4989.0,3126.0,4926.0,98.0,491.0,5537.0,1016.0,55,2012
Wisconsin,4893195.0,243560.0,12509.0,178.0,254.0,4940.0,1347.0,36443.0,2372.0,5758.0,6894.0,4915.0,257.0,870.0,1521.0,4831.0,3188.0,14822.0,1937.0,4467.0,822.0,40985.0,859.0,4733.0,3688.0,4866.0,113.0,544.0,6324.0,1077.0,55,2013
Wisconsin,4913456.0,244599.0,10838.0,226.0,214.0,4457.0,1606.0,36392.0,2185.0,5407.0,6661.0,5069.0,328.0,869.0,1194.0,5642.0,3569.0,15191.0,2077.0,4256.0,925.0,42865.0,1000.0,3478.0,4050.0,4858.0,95.0,582.0,6913.0,905.0,55,2014
Wisconsin,4929161.0,246853.0,10425.0,200.0,224.0,4230.0,1716.0,35053.0,2036.0,5169.0,6420.0,4628.0,347.0,1022.0,1225.0,5844.0,3740.0,15684.0,2294.0,4329.0,899.0,44895.0,1035.0,2740.0,4166.0,5073.0,78.0,610.0,6974.0,836.0,55,2015
