Name,English only,Spanish,French Creole,Yaddish,Italian,Portuguese,German,Greek,Russian,Polish,Serbo-Croatian,Armenian,Persian,Gujarati,Hindi,Urdu,Chinese,Japanese,Korean,Mon-Khmer,Hmong,Thai,Laotian,Vietnamese,Tagalog,Navajo,Hungarian,Arabic,Hebrew,state,Year
Alaska,533451.0,22735.0,177.0,0.0,376.0,419.0,3689.0,75.0,3688.0,531.0,142.0,6.0,120.0,0.0,192.0,146.0,1032.0,1499.0,3896.0,184.0,930.0,805.0,780.0,1031.0,12897.0,166.0,88.0,500.0,150.0,2,2009
Alaska,534077.0,22447.0,159.0,0.0,438.0,469.0,4050.0,105.0,4266.0,637.0,101.0,7.0,118.0,0.0,227.0,211.0,1311.0,1846.0,3853.0,271.0,1502.0,909.0,896.0,1103.0,14857.0,107.0,73.0,685.0,182.0,2,2010
Alaska,543072.0,22226.0,107.0,0.0,486.0,493.0,3779.0,103.0,4599.0,431.0,94.0,22.0,146.0,0.0,172.0,202.0,1420.0,1674.0,4157.0,271.0,2196.0,989.0,853.0,1071.0,13750.0,86.0,90.0,530.0,181.0,2,2011
Alaska,550553.0,22475.0,154.0,0.0,497.0,281.0,3790.0,111.0,4465.0,447.0,29.0,18.0,111.0,0.0,196.0,133.0,1392.0,1902.0,4023.0,184.0,2693.0,835.0,1290.0,1303.0,14705.0,172.0,77.0,651.0,162.0,2,2012
Alaska,557877.0,22425.0,120.0,0.0,444.0,279.0,3662.0,140.0,4426.0,426.0,32.0,3.0,100.0,123.0,290.0,272.0,1634.0,1752.0,3937.0,205.0,3107.0,1105.0,1469.0,1286.0,14177.0,133.0,90.0,388.0,241.0,2,2013
Alaska,564319.0,22548.0,210.0,4.0,395.0,211.0,3445.0,128.0,4794.0,508.0,126.0,3.0,72.0,143.0,292.0,105.0,1777.0,1912.0,4182.0,239.0,3631.0,1074.0,1408.0,867.0,14310.0,172.0,189.0,599.0,257.0,2,2014
Alaska,568544.0,23555.0,181.0,3.0,337.0,163.0,3185.0,145.0,4758.0,493.0,163.0,3.0,70.0,128.0,233.0,26.0,1641.0,1498.0,4061.0,193.0,3598.0,1120.0,1065.0,1141.0,15718.0,151.0,153.0,554.0,267.0,2,2015
Arizona,4200786.0,1261134.0,349.0,358.0,7982.0,3032.0,22953.0,2628.0,7888.0,6896.0,9711.0,1472.0,5925.0,3313.0,7672.0,1857.0,22529.0,6584.0,9467.0,1446.0,36.0,2157.0,1977.0,16634.0,16083.0,87943.0,1904.0,12464.0,1385.0,4,2009
Arizona,4215749.0,1199689.0,509.0,414.0,8229.0,3189.0,22990.0,2770.0,7408.0,6324.0,9215.0,1922.0,5332.0,3148.0,8130.0,1941.0,24895.0,6526.0,9656.0,1813.0,39.0,2291.0,1589.0,17750.0,18244.0,86293.0,1808.0,14039.0,1692.0,4,2010
Arizona,4285847.0,1213990.0,722.0,428.0,8181.0,3304.0,23157.0,3016.0,6910.0,5905.0,9377.0,1726.0,6110.0,3065.0,7699.0,2284.0,26599.0,6151.0,10970.0,1652.0,101.0,2358.0,1811.0,19254.0,19494.0,85698.0,1703.0,15490.0,1987.0,4,2011
Arizona,4352680.0,1224570.0,635.0,426.0,8242.0,4191.0,22839.0,3105.0,6446.0,5789.0,8517.0,1555.0,6234.0,4238.0,7802.0,2287.0,27297.0,5870.0,11182.0,2024.0,170.0,2341.0,1483.0,19289.0,19732.0,84865.0,1710.0,15158.0,2361.0,4,2012
Arizona,4416957.0,1230732.0,756.0,445.0,7901.0,4401.0,23063.0,3043.0,6602.0,5844.0,8370.0,1385.0,6111.0,3824.0,8474.0,2380.0,28552.0,6237.0,10733.0,2055.0,234.0,2492.0,1397.0,20608.0,20664.0,83792.0,1499.0,16865.0,2705.0,4,2013
Arizona,4477793.0,1251975.0,922.0,420.0,7798.0,4307.0,22413.0,3146.0,7358.0,5781.0,8139.0,1447.0,6147.0,3936.0,8437.0,2366.0,28507.0,6150.0,10112.0,1864.0,186.0,3096.0,1644.0,21774.0,21888.0,84190.0,1629.0,18710.0,2722.0,4,2014
Arizona,4536673.0,1272191.0,769.0,449.0,7010.0,3919.0,22354.0,3162.0,8044.0,5874.0,8082.0,914.0,6861.0,3965.0,9538.0,2328.0,29733.0,6473.0,10526.0,1856.0,253.0,3117.0,1580.0,22504.0,23037.0,82956.0,1466.0,20113.0,2402.0,4,2015
California,19409485.0,9462163.0,5847.0,5129.0,66665.0,76778.0,118367.0,24310.0,142981.0,21529.0,22717.0,171558.0,177218.0,39874.0,118625.0,37658.0,931599.0,146321.0,339426.0,70374.0,63284.0,42824.0,36245.0,457012.0,699611.0,1573.0,15014.0,128659.0,39519.0,6,2009
California,19429309.0,9706949.0,5974.0,4883.0,64934.0,76320.0,114575.0,23809.0,141884.0,21941.0,22156.0,175917.0,178552.0,42086.0,130387.0,40888.0,990241.0,147373.0,366414.0,74759.0,70088.0,46477.0,36970.0,484766.0,743408.0,1520.0,14122.0,131702.0,38607.0,6,2010
California,19538773.0,9835134.0,5833.0,4494.0,63914.0,74756.0,113078.0,23473.0,146085.0,21078.0,22735.0,182794.0,185347.0,44033.0,136718.0,42915.0,1010834.0,144375.0,370269.0,75973.0,71379.0,45066.0,37299.0,495824.0,753263.0,1481.0,13555.0,137976.0,39638.0,6,2011
California,19651209.0,9961284.0,5901.0,3862.0,63833.0,77598.0,114127.0,23405.0,148697.0,20177.0,23159.0,188449.0,190110.0,44019.0,145762.0,44016.0,1036982.0,141329.0,375383.0,78353.0,74633.0,45345.0,36319.0,512456.0,765033.0,1376.0,13072.0,144973.0,40750.0,6,2012
California,19782598.0,10105424.0,6718.0,3272.0,62621.0,79572.0,110575.0,22932.0,151685.0,19699.0,22753.0,191928.0,191138.0,44917.0,149301.0,45609.0,1058231.0,140575.0,372742.0,79882.0,76789.0,46434.0,36849.0,521534.0,764743.0,1401.0,13236.0,153635.0,41311.0,6,2013
California,19992432.0,10217938.0,7176.0,3419.0,62018.0,77870.0,107118.0,23294.0,154001.0,18785.0,21237.0,195501.0,193721.0,44645.0,157604.0,46487.0,1083029.0,141009.0,376306.0,79813.0,75628.0,47488.0,35906.0,533437.0,775347.0,1551.0,12498.0,160243.0,40919.0,6,2014
California,20142054.0,10329154.0,7071.0,3062.0,60355.0,77729.0,107874.0,24694.0,156323.0,19250.0,20458.0,194290.0,196036.0,46351.0,166255.0,47754.0,1116569.0,142358.0,375856.0,77845.0,74530.0,47156.0,38367.0,539256.0,788136.0,1343.0,12448.0,168482.0,41414.0,6,2015
Hawaii,902493.0,25229.0,312.0,42.0,923.0,1571.0,4099.0,345.0,632.0,487.0,274.0,33.0,283.0,15.0,262.0,142.0,28127.0,47505.0,17117.0,220.0,41.0,2033.0,1738.0,7690.0,50858.0,63.0,102.0,443.0,187.0,15,2009
Hawaii,929303.0,25285.0,532.0,39.0,871.0,1507.0,4423.0,323.0,694.0,493.0,226.0,77.0,280.0,42.0,252.0,95.0,30656.0,48016.0,18405.0,287.0,40.0,2132.0,1960.0,9053.0,55544.0,52.0,119.0,432.0,287.0,15,2010
Hawaii,936252.0,26563.0,463.0,48.0,799.0,1659.0,4665.0,213.0,1120.0,496.0,148.0,81.0,305.0,60.0,323.0,120.0,31227.0,47717.0,18298.0,391.0,5.0,2033.0,2165.0,8166.0,56424.0,38.0,114.0,437.0,361.0,15,2011
Hawaii,947196.0,26779.0,396.0,36.0,668.0,1785.0,4716.0,236.0,1167.0,311.0,243.0,89.0,466.0,55.0,467.0,81.0,32054.0,45621.0,18079.0,242.0,29.0,1858.0,2357.0,8201.0,58197.0,13.0,123.0,534.0,360.0,15,2012
Hawaii,960182.0,25491.0,348.0,39.0,655.0,1915.0,4615.0,192.0,1169.0,513.0,187.0,82.0,476.0,57.0,410.0,45.0,31537.0,45633.0,17276.0,274.0,23.0,1920.0,2279.0,9418.0,58345.0,13.0,139.0,446.0,290.0,15,2013
Hawaii,973529.0,25114.0,311.0,40.0,621.0,1860.0,4431.0,204.0,1109.0,568.0,177.0,72.0,424.0,44.0,522.0,36.0,31146.0,45356.0,17190.0,243.0,33.0,1884.0,2233.0,9387.0,59621.0,42.0,136.0,584.0,320.0,15,2014
Hawaii,983565.0,25776.0,113.0,40.0,643.0,2048.0,3782.0,134.0,1124.0,494.0,250.0,17.0,715.0,19.0,543.0,44.0,32758.0,45190.0,18337.0,196.0,41.0,1815.0,1999.0,9389.0,59627.0,48.0,129.0,472.0,433.0,15,2015
Nevada,1705003.0,459432.0,265.0,283.0,6427.0,2196.0,9077.0,2022.0,3597.0,2493.0,3935.0,2463.0,3997.0,703.0,1968.0,800.0,19706.0,6306.0,8185.0,775.0,81.0,4351.0,1710.0,5354.0,53347.0,1150.0,1641.0,4458.0,1985.0,32,2009
Nevada,1755755.0,480267.0,341.0,286.0,5777.0,2135.0,8860.0,2053.0,3659.0,2610.0,3709.0,2534.0,4361.0,806.0,1794.0,1005.0,24657.0,6178.0,9560.0,1030.0,82.0,4874.0,1557.0,7013.0,62759.0,891.0,1667.0,4820.0,1896.0,32,2010
Nevada,1776667.0,494092.0,416.0,347.0,5625.0,2388.0,8367.0,1958.0,4277.0,2547.0,3651.0,2655.0,4071.0,794.0,2535.0,1079.0,25072.0,5649.0,9195.0,1218.0,66.0,4892.0,1655.0,7609.0,65386.0,899.0,1700.0,5108.0,1977.0,32,2011
Nevada,1785994.0,509313.0,431.0,435.0,5316.0,2537.0,7943.0,1940.0,4554.0,2604.0,3292.0,2321.0,4090.0,849.0,2474.0,1356.0,26781.0,5683.0,9199.0,1178.0,42.0,4986.0,1449.0,7518.0,68471.0,997.0,1691.0,5817.0,2200.0,32,2012
Nevada,1799141.0,517933.0,543.0,367.0,4794.0,2786.0,7998.0,2236.0,5168.0,2496.0,3824.0,2411.0,4187.0,1022.0,2435.0,1536.0,27518.0,5811.0,10507.0,1198.0,59.0,5168.0,1842.0,8718.0,69278.0,1022.0,1792.0,5964.0,2565.0,32,2013
Nevada,1814226.0,533809.0,567.0,381.0,4528.0,3095.0,8174.0,2096.0,5336.0,2633.0,3141.0,2742.0,4062.0,899.0,2277.0,1435.0,27945.0,5958.0,10652.0,1243.0,44.0,5640.0,1730.0,9240.0,71104.0,976.0,1550.0,6041.0,2768.0,32,2014
Nevada,1832907.0,547574.0,531.0,324.0,4411.0,3637.0,7848.0,2060.0,5493.0,2529.0,3227.0,3058.0,4122.0,991.0,2834.0,1486.0,27833.0,6355.0,11120.0,1356.0,46.0,5785.0,1937.0,9193.0,72310.0,990.0,1310.0,6451.0,2592.0,32,2015
Oregon,3000413.0,291430.0,421.0,130.0,3231.0,1638.0,17555.0,900.0,20290.0,1298.0,1392.0,294.0,3297.0,677.0,3952.0,565.0,21044.0,10294.0,11500.0,2204.0,1649.0,2224.0,2598.0,21015.0,7032.0,457.0,913.0,5879.0,1198.0,41,2009
Oregon,3021536.0,302701.0,453.0,109.0,2993.0,1708.0,17039.0,815.0,21044.0,1324.0,1545.0,367.0,3263.0,853.0,4202.0,504.0,22780.0,10689.0,10578.0,2394.0,1479.0,2388.0,2452.0,23171.0,8063.0,495.0,804.0,5717.0,1144.0,41,2010
Oregon,3046487.0,311380.0,502.0,84.0,3032.0,1713.0,16225.0,906.0,20524.0,1346.0,1936.0,415.0,3064.0,960.0,4336.0,627.0,23521.0,9938.0,10614.0,2867.0,766.0,2335.0,2798.0,23701.0,8139.0,428.0,740.0,6675.0,1061.0,41,2011
Oregon,3071950.0,314426.0,424.0,68.0,2829.0,1965.0,16241.0,840.0,20492.0,1273.0,1824.0,421.0,3470.0,974.0,4754.0,775.0,25362.0,9801.0,10531.0,2870.0,891.0,2338.0,2786.0,24709.0,8372.0,324.0,1003.0,7152.0,1072.0,41,2012
Oregon,3096638.0,319160.0,524.0,154.0,2816.0,2007.0,15185.0,850.0,21884.0,1183.0,1801.0,475.0,3375.0,621.0,4783.0,813.0,26410.0,9313.0,10382.0,2947.0,799.0,2130.0,2594.0,25813.0,8452.0,326.0,859.0,7938.0,1112.0,41,2013
Oregon,3121336.0,324212.0,614.0,174.0,2656.0,2165.0,14176.0,848.0,22786.0,1141.0,1960.0,478.0,3737.0,689.0,4784.0,1030.0,27401.0,9610.0,10805.0,3276.0,1502.0,2354.0,2127.0,24365.0,9361.0,276.0,833.0,7316.0,1019.0,41,2014
Oregon,3148786.0,332139.0,395.0,188.0,2703.0,2723.0,14451.0,953.0,20746.0,1010.0,1880.0,450.0,3670.0,556.0,5608.0,947.0,29082.0,9556.0,11213.0,3472.0,1622.0,2392.0,2008.0,23396.0,9185.0,288.0,707.0,8456.0,877.0,41,2015
Washington,5037218.0,432663.0,657.0,195.0,6034.0,4945.0,34033.0,2748.0,48278.0,4997.0,5092.0,932.0,6669.0,1667.0,11996.0,2732.0,67841.0,23793.0,47055.0,12071.0,2074.0,4441.0,7918.0,50280.0,49288.0,276.0,1464.0,7280.0,2347.0,53,2009
Washington,5060313.0,477752.0,833.0,238.0,6249.0,4388.0,33289.0,3135.0,49112.0,4987.0,5149.0,1149.0,6983.0,2091.0,13591.0,3080.0,74079.0,24766.0,50608.0,13639.0,2401.0,5289.0,8010.0,55221.0,50865.0,399.0,1477.0,8903.0,1955.0,53,2010
Washington,5113710.0,488617.0,679.0,263.0,6359.0,4655.0,32958.0,2931.0,51027.0,5127.0,5459.0,1326.0,7519.0,1909.0,14090.0,3426.0,77720.0,24224.0,50762.0,15582.0,2070.0,5561.0,7694.0,55740.0,51897.0,301.0,1514.0,9669.0,2127.0,53,2011
Washington,5155403.0,506701.0,729.0,214.0,6634.0,4991.0,32295.0,2877.0,53699.0,4894.0,5761.0,1226.0,8318.0,2451.0,13778.0,3206.0,81129.0,24991.0,49475.0,16024.0,2169.0,5263.0,7592.0,57525.0,54315.0,299.0,1494.0,10836.0,2241.0,53,2012
Washington,5195196.0,521751.0,767.0,198.0,6624.0,5289.0,32474.0,3015.0,56537.0,4818.0,5259.0,1170.0,8599.0,2552.0,15528.0,3398.0,81650.0,25418.0,48065.0,17187.0,2116.0,5368.0,7566.0,60094.0,54878.0,335.0,1410.0,12482.0,2336.0,53,2013
Washington,5242120.0,534807.0,781.0,211.0,6088.0,5520.0,31277.0,2877.0,57063.0,4748.0,5476.0,1571.0,8332.0,2707.0,17731.0,3902.0,83804.0,24300.0,49438.0,17905.0,1598.0,5457.0,7684.0,62061.0,56408.0,208.0,1389.0,13753.0,2635.0,53,2014
Washington,5303472.0,546327.0,934.0,163.0,5555.0,5706.0,30115.0,2582.0,57230.0,4702.0,5542.0,1384.0,8336.0,2724.0,20235.0,3964.0,89549.0,25198.0,48425.0,17752.0,1666.0,5458.0,7492.0,61610.0,56497.0,249.0,1335.0,15083.0,2792.0,53,2015
